fixture.id,fixture.referee,fixture.timezone,fixture.date,fixture.timestamp,fixture.periods.first,fixture.periods.second,fixture.venue.id,fixture.venue.name,fixture.venue.city,fixture.status.long,fixture.status.short,fixture.status.elapsed,fixture.status.extra,league.id,league.name,league.country,league.logo,league.flag,league.season,league.round,league.standings,teams.home.id,teams.home.name,teams.home.logo,teams.home.winner,teams.away.id,teams.away.name,teams.away.logo,teams.away.winner,goals.home,goals.away,score.halftime.home,score.halftime.away,score.fulltime.home,score.fulltime.away,score.extratime.home,score.extratime.away,score.penalty.home,score.penalty.away
721824,"Jorge Antonio Perez Duran, Mexico",UTC,2021-10-03T22:00:00+00:00,1633298400,1633298400,1633302000,7182.0,Estadio Azteca,D.F.,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 12,True,2287,Club America,https://media.api-sports.io/football/teams/2287.png,True,2286,U.N.A.M. - Pumas,https://media.api-sports.io/football/teams/2286.png,False,2,0,1,0,2,0,,,,
721829,"Marco Antonio Ortiz Nava, Mexico",UTC,2021-10-04T00:00:00+00:00,1633305600,1633305600,1633309200,1087.0,Estadio Universitario de Nuevo León,San Nicolás de los Garza,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 12,True,2279,Tigres UANL,https://media.api-sports.io/football/teams/2279.png,,2288,Necaxa,https://media.api-sports.io/football/teams/2288.png,,0,0,0,0,0,0,,,,
721828,"Luis Santander, Mexico",UTC,2021-10-04T02:06:00+00:00,1633313160,1633313160,1633316760,1088.0,Estadio Caliente,Tijuana,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 12,True,2280,Club Tijuana,https://media.api-sports.io/football/teams/2280.png,False,2295,Cruz Azul,https://media.api-sports.io/football/teams/2295.png,True,0,1,0,1,0,1,,,,
721805,"Marco Antonio Ortiz Nava, Mexico",UTC,2021-10-09T00:00:00+00:00,1633737600,1633737600,1633741200,1845.0,Estadio Olímpico Benito Juárez,Ciudad Juárez,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 10,True,2298,FC Juarez,https://media.api-sports.io/football/teams/2298.png,,2290,Club Queretaro,https://media.api-sports.io/football/teams/2290.png,,0,0,0,0,0,0,,,,
721830,"Eduardo Galvan Basulto, Mexico",UTC,2021-10-15T01:00:00+00:00,1634259600,1634259600,1634263200,1084.0,Estadio La Corregidora,Santiago de Querétaro,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 13,True,2290,Club Queretaro,https://media.api-sports.io/football/teams/2290.png,,2280,Club Tijuana,https://media.api-sports.io/football/teams/2280.png,,1,1,0,1,1,1,,,,
721831,"Fernando Guerrero Ramirez, Mexico",UTC,2021-10-16T00:00:00+00:00,1634342400,1634342400,1634346000,1080.0,Estadio Victoria de Aguascalientes,Aguascalientes,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 13,True,2288,Necaxa,https://media.api-sports.io/football/teams/2288.png,False,2291,Puebla,https://media.api-sports.io/football/teams/2291.png,True,0,1,0,0,0,1,,,,
721832,"Mario Humberto Vargas Mata, Mexico",UTC,2021-10-16T02:00:00+00:00,1634349600,1634349600,1634353200,10546.0,Estadio de Mazatlán,Mazatlán,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 13,True,14002,Mazatlán,https://media.api-sports.io/football/teams/14002.png,True,2283,Atlas,https://media.api-sports.io/football/teams/2283.png,False,1,0,1,0,1,0,,,,
721837,"Cesar Arturo Ramos Palazuelos, Mexico",UTC,2021-10-16T22:00:00+00:00,1634421600,1634421600,1634425200,11905.0,Estadio BBVA,Guadalupe,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 13,True,2282,Monterrey,https://media.api-sports.io/football/teams/2282.png,False,2289,Leon,https://media.api-sports.io/football/teams/2289.png,True,0,1,0,1,0,1,,,,
721834,D. Montaño,UTC,2021-10-17T00:00:00+00:00,1634428800,1634428800,1634432400,1795.0,Estadio Alfonso Lastras Ramírez,San Luis Potosí,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 13,True,2314,Atletico San Luis,https://media.api-sports.io/football/teams/2314.png,False,2287,Club America,https://media.api-sports.io/football/teams/2287.png,True,0,1,0,0,0,1,,,,
721833,Ó. Mejía,UTC,2021-10-17T00:05:00+00:00,1634429100,1634429100,1634432700,1081.0,Estadio Hidalgo,Pachuca de Soto,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 13,True,2292,Pachuca,https://media.api-sports.io/football/teams/2292.png,,2285,Santos Laguna,https://media.api-sports.io/football/teams/2285.png,,1,1,0,0,1,1,,,,
721835,J. Pérez,UTC,2021-10-17T02:00:00+00:00,1634436000,1634436000,1634439600,7182.0,Estadio Azteca,D.F.,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 13,True,2295,Cruz Azul,https://media.api-sports.io/football/teams/2295.png,,2279,Tigres UANL,https://media.api-sports.io/football/teams/2279.png,,1,1,1,1,1,1,,,,
721836,"Adonai Escobedo Gonzalez, Mexico",UTC,2021-10-17T17:00:00+00:00,1634490000,1634490000,1634493600,1083.0,Estadio Olímpico de Universitario,D.F.,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 13,True,2286,U.N.A.M. - Pumas,https://media.api-sports.io/football/teams/2286.png,True,2298,FC Juarez,https://media.api-sports.io/football/teams/2298.png,False,1,0,0,0,1,0,,,,
721838,"Fernando Hernandez, Mexico",UTC,2021-10-17T22:00:00+00:00,1634508000,1634508000,1634511600,1076.0,Estadio AKRON,Zapopan,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 13,True,2278,Guadalajara Chivas,https://media.api-sports.io/football/teams/2278.png,True,2281,Toluca,https://media.api-sports.io/football/teams/2281.png,False,2,0,1,0,2,0,,,,
