fixture.id,fixture.referee,fixture.timezone,fixture.date,fixture.timestamp,fixture.periods.first,fixture.periods.second,fixture.venue.id,fixture.venue.name,fixture.venue.city,fixture.status.long,fixture.status.short,fixture.status.elapsed,fixture.status.extra,league.id,league.name,league.country,league.logo,league.flag,league.season,league.round,league.standings,teams.home.id,teams.home.name,teams.home.logo,teams.home.winner,teams.away.id,teams.away.name,teams.away.logo,teams.away.winner,goals.home,goals.away,score.halftime.home,score.halftime.away,score.fulltime.home,score.fulltime.away,score.extratime.home,score.extratime.away,score.penalty.home,score.penalty.away
864095,D. Quintero,UTC,2022-07-02T02:05:00+00:00,1656727500,1656727500,1656731100,10546.0,Estadio de Mazatlán,Mazatlán,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2022,Apertura - 1,True,14002,Mazatlán,https://media.api-sports.io/football/teams/14002.png,False,2291,Puebla,https://media.api-sports.io/football/teams/2291.png,True,2,4,0,2,2,4,,,,
864096,I. Lopez,UTC,2022-07-02T22:00:00+00:00,1656799200,1656799200,1656802800,1076.0,Estadio AKRON,Zapopan,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2022,Apertura - 1,True,2278,Guadalajara Chivas,https://media.api-sports.io/football/teams/2278.png,,2298,FC Juarez,https://media.api-sports.io/football/teams/2298.png,,0,0,0,0,0,0,,,,
864094,L. Santander,UTC,2022-07-02T22:00:00+00:00,1656799200,1656799200,1656802800,1080.0,Estadio Victoria de Aguascalientes,Aguascalientes,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2022,Apertura - 1,True,2288,Necaxa,https://media.api-sports.io/football/teams/2288.png,False,2281,Toluca,https://media.api-sports.io/football/teams/2281.png,True,1,3,1,2,1,3,,,,
864097,Ó. Mejía,UTC,2022-07-03T00:05:00+00:00,1656806700,1656806700,1656810300,1087.0,Estadio Universitario de Nuevo León,San Nicolás de los Garza,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2022,Apertura - 1,True,2279,Tigres UANL,https://media.api-sports.io/football/teams/2279.png,False,2295,Cruz Azul,https://media.api-sports.io/football/teams/2295.png,True,2,3,0,1,2,3,,,,
864098,F. Guerrero,UTC,2022-07-03T02:05:00+00:00,1656813900,1656813900,1656817500,7182.0,Estadio Azteca,D.F.,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2022,Apertura - 1,True,2287,Club America,https://media.api-sports.io/football/teams/2287.png,,2283,Atlas,https://media.api-sports.io/football/teams/2283.png,,0,0,0,0,0,0,,,,
864099,A. Escobedo,UTC,2022-07-03T17:00:00+00:00,1656867600,1656867600,1656871200,1083.0,Estadio Olímpico de Universitario,D.F.,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2022,Apertura - 1,True,2286,U.N.A.M. - Pumas,https://media.api-sports.io/football/teams/2286.png,,2280,Club Tijuana,https://media.api-sports.io/football/teams/2280.png,,1,1,0,1,1,1,,,,
864100,F. Hernández,UTC,2022-07-03T22:00:00+00:00,1656885600,1656885600,1656889200,1795.0,Estadio Alfonso Lastras Ramírez,San Luis Potosí,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2022,Apertura - 1,True,2314,Atletico San Luis,https://media.api-sports.io/football/teams/2314.png,False,2289,Leon,https://media.api-sports.io/football/teams/2289.png,True,1,2,0,1,1,2,,,,
864101,J. Pérez,UTC,2022-07-04T00:05:00+00:00,1656893100,1656893100,1656896700,1085.0,Estadio Nuevo Corona,Torreón,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2022,Apertura - 1,True,2285,Santos Laguna,https://media.api-sports.io/football/teams/2285.png,True,2282,Monterrey,https://media.api-sports.io/football/teams/2282.png,False,4,3,2,2,4,3,,,,
864102,C. Ramos,UTC,2022-07-05T02:00:00+00:00,1656986400,1656986400,1656990000,1081.0,Estadio Hidalgo,Pachuca de Soto,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2022,Apertura - 1,True,2292,Pachuca,https://media.api-sports.io/football/teams/2292.png,True,2290,Club Queretaro,https://media.api-sports.io/football/teams/2290.png,False,2,0,1,0,2,0,,,,
864103,A. Escobedo,UTC,2022-07-09T00:00:00+00:00,1657324800,1657324800,1657328400,10546.0,Estadio de Mazatlán,Mazatlán,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2022,Apertura - 2,True,14002,Mazatlán,https://media.api-sports.io/football/teams/14002.png,False,2279,Tigres UANL,https://media.api-sports.io/football/teams/2279.png,True,0,1,0,1,0,1,,,,
864105,Ó. Macías,UTC,2022-07-09T02:05:00+00:00,1657332300,1657332300,1657335900,1088.0,Estadio Caliente,Tijuana,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2022,Apertura - 2,True,2280,Club Tijuana,https://media.api-sports.io/football/teams/2280.png,False,2298,FC Juarez,https://media.api-sports.io/football/teams/2298.png,True,0,2,0,0,0,2,,,,
864104,C. Ramos,UTC,2022-07-09T02:05:00+00:00,1657332300,1657332300,1657335900,1082.0,Estadio Cuauhtémoc,Puebla,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2022,Apertura - 2,True,2291,Puebla,https://media.api-sports.io/football/teams/2291.png,True,2285,Santos Laguna,https://media.api-sports.io/football/teams/2285.png,False,1,0,1,0,1,0,,,,
